u_id,section,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
77,9,1523056285,21,sex,full,0.38260689614566423,2.4591306537558033e-4
77,9,1523056300,147,sex,full,0.3828395832456871,2.3268710002288806e-4
77,9,1523056313,354,fname,full,0.9070770560125716,0.5242374727668845
77,9,1523056335,98,sex,full,0.9073501385053304,2.730824927588138e-4
77,9,1523056347,81,sex,full,0.9075512183406054,2.010798352749532e-4
77,9,1523056349,81,lname,full,1.4945641907929113,0.5870129724523059
77,9,1523056365,82,sex,full,1.4947652706281864,2.0107983527517526e-4
77,9,1523056366,82,lname,full,2.1660306940608844,0.671265423432698
77,9,1523056382,339,lname,partial,2.2255545035846938,0.05952380952380931
77,9,1523056399,17,sex,full,2.2258322096963785,2.777061116847612e-4
77,9,1523056403,139,sex,full,2.226033845512765,2.0163581638632522e-4
77,9,1523056404,139,lname,full,2.8517922711403103,0.6257584256275455
78,1,1522793308,127,fname,partial,0.29239766081871343,0.29239766081871343
78,1,1522793342,27,fname,partial,0.45075262312250736,0.15835496230379392
78,1,1522793372,270,sex,full,0.4509827072006888,2.3008407818142507e-4
78,1,1522793483,68,fname,partial,0.5785605691535509,0.12757786195286214
78,1,1522793507,23,sex,full,0.5788111583650535,2.5058921150256097e-4
78,1,1522793606,87,fname,partial,0.6990259109327477,0.1202147525676942
78,1,1522793645,361,sex,full,0.6992675246478615,2.4161371511377538e-4
78,1,1522793732,114,lname,partial,0.7961667494540636,0.09689922480620217
78,1,1522793747,100,sex,full,0.7964275929555512,2.608435014875843e-4
78,1,1522793797,154,lname,partial,0.8860333277225761,0.08960573476702494
78,1,1522793812,212,lname,partial,0.9043081815237455,0.018274853801169333
78,1,1522793905,80,sex,full,0.9045033368501663,1.951553264207817e-4
78,1,1522793923,349,lname,partial,0.9657778466540876,0.06127450980392135
78,2,1522793997,267,sex,full,2.481646451883712e-4,2.481646451883712e-4
78,2,1522794038,132,lname,partial,0.02129193568895904,0.02104377104377067
78,2,1522794062,16,sex,full,0.021548707253324813,2.5677156436577225e-4
78,2,1522794097,70,fname,partial,0.14533559574609584,0.12378688849277103
78,2,1522794115,143,sex,full,0.14554945191499105,2.1385616889521564e-4
78,2,1522794218,109,lname,partial,0.20682396171891257,0.06127450980392152
